시설명,종류,주소,도로명,지번주소,위도,경도,법정동
서울석계초등학교,학교,서울특별시 성북구 한천로58길 273 (석관동),서울특별시 성북구 한천로58길 273 (석관동),서울특별시 성북구 석관동 27-3 서울석계초등학교,37.60860899,127.0697633,서울특별시 성북구 석관동
서울석관초등학교 놀이터,학교,서울특별시 성북구 돌곶이로22길 21 (석관동),서울특별시 성북구 돌곶이로22길 21 (석관동),서울특별시 성북구 석관동 205 서울석관초등학교,37.61087471,127.0591655,서울특별시 성북구 석관동
서울성북초등학교,학교,서울특별시 성북구 성북로 102-10 (성북동),서울특별시 성북구 성북로 102-10 (성북동),서울특별시 성북구 성북동 66-1 서울성북초등학교,37.5897471,127.0062084,서울특별시 성북구 성북동
서울다원학교,학교,"서울특별시 성북구 성북로 31 (성북동1가)5-15, 서울다원학교",실패,서울특별시 성북구 성북동 226-220 서울다원학교,37.59414984,126.9909288,서울특별시 성북구 성북동
서울안암초등학교 놀이시설,학교,서울특별시 성북구 인촌로7가길 39 (안암동2가),서울특별시 성북구 인촌로7가길 39 (안암동2가),서울특별시 성북구 안암동2가 93 서울안암초등학교,37.58722635,127.0226201,서울특별시 성북구 안암동2가
광운초등학교 놀이터,학교,서울특별시 성북구 한천로 693,서울특별시 성북구 한천로 693 (장위동),서울특별시 성북구 장위동 128 광운초등학교,37.61890846,127.0553027,서울특별시 성북구 장위동
장위초등학교 놀이터,학교,서울특별시 성북구 장월로8가길 41 (장위동),서울특별시 성북구 장월로8가길 41 (장위동),서울특별시 성북구 장위동 68-8 서울장위초등학교,37.61210232,127.0498536,서울특별시 성북구 장위동
서울장곡초등학교 어린이놀이시설,학교,서울특별시 성북구 장월로23길 16 (장위동),서울특별시 성북구 장월로23길 16 (장위동),서울특별시 성북구 장위동 235 서울장곡초등학교,37.61668948,127.048263,서울특별시 성북구 장위동
서울 장곡초등학교 놀이터,학교,서울특별시 성북구 장월로23길 16,서울특별시 성북구 장월로23길 16 (장위동),서울특별시 성북구 장위동 235 서울장곡초등학교,37.61668948,127.048263,서울특별시 성북구 장위동
서울장월초등학교 놀이터,학교,서울특별시 성북구 한천로101길 66 (장위동),서울특별시 성북구 한천로101길 66 (장위동),서울특별시 성북구 장위동 316 서울장월초등학교,37.62201097,127.0470585,서울특별시 성북구 장위동
서울월곡초등학교 어린이놀이시설,학교,서울특별시 성북구 장월로3길 42 (장위동),서울특별시 성북구 장월로3길 42 (장위동),서울특별시 성북구 장위동 246-194 서울월곡초등학교,37.60969167,127.0464632,서울특별시 성북구 장위동
숭덕초등학교 놀이터,학교,서울특별시 성북구 정릉로 279 (정릉동),서울특별시 성북구 정릉로 279 (정릉동),서울특별시 성북구 정릉동 160-1 서울숭덕초등학교,37.60396665,127.0132989,서울특별시 성북구 정릉동
서울 정수초등학교 놀이터,학교,서울특별시 성북구 정릉로24길 58 (정릉동),서울특별시 성북구 정릉로24길 58 (정릉동),서울특별시 성북구 정릉동 431-62 서울정수초등학교,37.60404579,127.0077492,서울특별시 성북구 정릉동
서울정릉초등학교,학교,"서울특별시 성북구 솔샘로25가길 8, 서울정릉초등학교 (정릉동)",서울특별시 성북구 솔샘로25가길 8 (정릉동),서울특별시 성북구 정릉동 798 서울정릉초등학교,37.61935464,127.005399,서울특별시 성북구 정릉동
서울청덕초등학교,학교,서울특별시 성북구 정릉로9라길 11 (정릉동),서울특별시 성북구 정릉로9라길 11 (정릉동),서울특별시 성북구 정릉동 847 서울청덕초등학교,37.61189569,127.0005872,서울특별시 성북구 정릉동
숭례초등학교 어린이 놀이시설,학교,서울특별시 성북구 종암로5길 14 (종암동),서울특별시 성북구 종암로5길 14 (종암동),서울특별시 성북구 종암동 22-1 서울숭례초등학교,37.59491176,127.0349666,서울특별시 성북구 종암동
숭인초등학교 2구역,학교,서울특별시 성북구 오패산로16길 37 (하월곡동),서울특별시 성북구 오패산로16길 37 (하월곡동),서울특별시 성북구 하월곡동 225-3 서울숭인초등학교,37.6091602,127.0382341,서울특별시 성북구 하월곡동
숭인초등학교 1구역,학교,서울특별시 성북구 오패산로16길 37 (하월곡동),서울특별시 성북구 오패산로16길 37 (하월곡동),서울특별시 성북구 하월곡동 225-3 서울숭인초등학교,37.6091602,127.0382341,서울특별시 성북구 하월곡동
서울숭곡초등학교 놀이시설,학교,서울특별시 성북구 종암로40길 30 (하월곡동),서울특별시 성북구 종암로40길 30 (하월곡동),서울특별시 성북구 하월곡동 84-86 서울숭곡초등학교,37.60850715,127.0327246,서울특별시 성북구 하월곡동
서울가동초등학교 놀이시설,학교,서울특별시 송파구 중대로20길 47 (가락동)서울가동초등학교,서울특별시 송파구 중대로20길 47 (가락동),서울특별시 송파구 가락동 163 가동초등학교,37.49714207,127.1303796,서울특별시 송파구 가락동
서울가주초등학교 놀이시설,학교,서울특별시 송파구 오금로40길 37 (가락동)서울가주초등학교,서울특별시 송파구 오금로40길 37 (가락동),서울특별시 송파구 가락동 140-6 가주초등학교,37.49663607,127.1290516,서울특별시 송파구 가락동
평화초등학교 운동장놀이터,학교,서울특별시 송파구 송파대로26길 22 (가락동)서울평화초등학교,서울특별시 송파구 송파대로26길 22 (가락동),서울특별시 송파구 가락동 106 평화초등학교,37.4913802,127.1223517,서울특별시 송파구 가락동
서울신가초등학교 놀이시설,학교,서울특별시 송파구 송이로 75 (가락동)서울신가초등학교,서울특별시 송파구 송이로 75 (가락동),서울특별시 송파구 가락동 43-1 서울신가초등학교,37.50000702,127.1200532,서울특별시 송파구 가락동
서울거원초등학교 놀이터,학교,서울특별시 송파구 양산로2길 26 (거여동)서울거원초등학교,서울특별시 송파구 양산로2길 26 (거여동),서울특별시 송파구 거여동 296-1 거원초등학교,37.48779554,127.1451159,서울특별시 송파구 거여동
서울 영풍초등학교 놀이터,학교,서울특별시 송파구 오금로57길 15 (거여동)서울영풍초등학교,서울특별시 송파구 오금로57길 15 (거여동),서울특별시 송파구 거여동 12 영풍초등학교,37.49598578,127.1429824,서울특별시 송파구 거여동
서울 마천초등학교 놀이터,학교,서울특별시 송파구 마천로61다길 24 (마천동)서울마천초등학교,서울특별시 송파구 마천로61다길 24 (마천동),서울특별시 송파구 마천동 183-4 마천초등학교,37.4953151,127.152323,서울특별시 송파구 마천동
서울 남천초등학교 놀이터,학교,서울특별시 송파구 성내천로 207 (마천동)서울남천초등학교,서울특별시 송파구 성내천로 207 (마천동),서울특별시 송파구 마천동 53 남천초등학교,37.50103476,127.1508124,서울특별시 송파구 마천동
서울 문정초등학교 놀이터,학교,서울특별시 송파구 문정로5길 20 (문정동)서울문정초등학교,서울특별시 송파구 문정로5길 20 (문정동),서울특별시 송파구 문정동 12 서울문정초등학교,37.48891417,127.1287345,서울특별시 송파구 문정동
서울문덕초등학교 놀이터,학교,서울특별시 송파구 송이로34길 60 (문정동)서울문덕초등학교,서울특별시 송파구 송이로34길 60 (문정동),서울특별시 송파구 문정동 90-3 서울문덕초등학교,37.48499343,127.1275979,서울특별시 송파구 문정동
서울가원초등학교 어린이놀이시설,학교,서울특별시 송파구 중대로4길 8 (문정동)서울가원초등학교,서울특별시 송파구 중대로4길 8 (문정동),서울특별시 송파구 문정동 150-10 가원초등학교,37.48911996,127.1114054,서울특별시 송파구 문정동
